# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6912
#@/user_id	aae06e7b-1c87-4f88-82f7-00d22f8468fb
a 	啊	c=11 d=0.0676654 t=6912
bu xing 	不行	c=1 d=0.0103063 t=6912
bu xu yao 	不需要	c=2 d=0.0223386 t=6912
bu yi ding 	不一定	c=1 d=2.02557e-10 t=6912
bu yi ding zai 	不一定在	c=1 d=0.324652 t=6912
bu yi yang 	不一樣	c=1 d=1.09001e-14 t=6912
bu yi yang de 	不一樣的	c=0 d=1.18591e-07 t=6912
bu yi zhi 	不一致	c=1 d=0.0066709 t=6912
bu yong 	不用	c=3 d=0.194017 t=6912
bu yong deng dao 	不用等到	c=1 d=0.285076 t=6912
bu yong xiang 	不用像	c=1 d=0.666977 t=6912
bu zheng que 	不正確	c=0 d=0.000211225 t=6912
bu zhi chi 	不支持	c=3 d=6.11002e-13 t=6912
bu zhi ding 	不指定	c=1 d=6.96467e-10 t=6912
bu zhu dong 	不主動	c=1 d=0.00600598 t=6912
bu zou 	步驟	c=0 d=4.92684e-06 t=6912
bu zu 	不足	c=1 d=4.13066e-11 t=6912
ca chu 	擦除	c=0 d=3.38074e-08 t=6912
cai 	才	c=0 d=0.0955997 t=6912
cai ji 	採集	c=0 d=9.83572e-13 t=6912
cai ji biao 	採集表	c=1 d=9.88503e-12 t=6912
cai ji suan 	才計算	c=1 d=1.81396e-06 t=6912
cai liao 	材料	c=5 d=5.53179e-06 t=6912
cai neng 	才能	c=3 d=0.334752 t=6912
cai neng da dao 	才能達到	c=1 d=0.904837 t=6912
cai neng fang wen dao 	才能訪問到	c=1 d=0.00436124 t=6912
cai neng rang 	纔能讓	c=0 d=8.78544e-08 t=6912
cai yong 	採用	c=1 d=0.0205042 t=6912
cai yong de 	採用的	c=1 d=6.49161e-06 t=6912
cai you 	纔有	c=2 d=0.000742862 t=6912
cai zhi xing 	才執行	c=1 d=0.960789 t=6912
cai zhi xing ji suan 	才執行計算	c=1 d=1.70832e-06 t=6912
can jia 	參加	c=2 d=3.17136e-13 t=6912
can kao 	參考	c=2 d=0.00069264 t=6912
can shu 	參數	c=14 d=3.06108e-06 t=6912
can shu chuan di 	參數傳遞	c=1 d=2.93149e-06 t=6912
can shu de 	參數的	c=1 d=1.52746e-07 t=6912
can shu hua 	參數化	c=2 d=0.00951658 t=6912
can shu lei 	參數類	c=1 d=7.10104e-07 t=6912
can shu lei de 	參數類的	c=2 d=1.3347e-06 t=6912
cang ku 	倉庫	c=1 d=9.02962e-06 t=6912
cao 	草	c=4 d=4.4414e-08 t=6912
cao zu 	曹族	c=1 d=2.00507e-08 t=6912
cao zuo 	操作	c=21 d=0.0231931 t=6912
cao zuo de 	操作的	c=2 d=0.0247421 t=6912
cao zuo de di zhi shi yi yang de 	操作的地址是一樣的	c=1 d=0.0867261 t=6912
cao zuo fu hao kai shi 	操作符號開始	c=1 d=1.04927e-07 t=6912
cao zuo han shu 	操作函數	c=1 d=2.8025e-06 t=6912
cao zuo xi tong 	操作系統	c=8 d=5.70025e-06 t=6912
cao zuo xi tong de 	操作系統的	c=1 d=7.31927e-07 t=6912
ce ding 	測定	c=0 d=3.37259e-09 t=6912
ce lve 	策略	c=0 d=3.07645e-16 t=6912
ce shi 	測試	c=2 d=7.13856e-06 t=6912
ceng shu 	層數	c=1 d=7.25014e-12 t=6912
cha 	差	c=1 d=0.00932553 t=6912
cha kan 	查看	c=2 d=2.55757e-13 t=6912
cha ru 	插入	c=2 d=3.24463e-07 t=6912
cha ru pai xu 	插入排序	c=1 d=2.62613e-06 t=6912
cha ru zai 	插入在	c=1 d=1.11434e-09 t=6912
cha zai 	差在	c=1 d=0.0101022 t=6912
chan sheng de 	產生的	c=1 d=3.76667e-14 t=6912
chang 	長	c=1 d=1.08141e-09 t=6912
chang de 	長的	c=0 d=1.09228e-10 t=6912
chang de kuo hao li mian 	長的括號裏面	c=1 d=1.09775e-09 t=6912
chang gui 	常規	c=0 d=2.20415e-05 t=6912
chang jian 	常見	c=3 d=3.4682e-07 t=6912
chang jian de 	常見的	c=1 d=3.07645e-15 t=6912
chang jian lei xing 	常見類型	c=1 d=3.27236e-06 t=6912
chang jing 	場景	c=0 d=2.1717e-07 t=6912
chang jing bi jiao shao jian 	場景比較少見	c=1 d=2.18259e-06 t=6912
chang liang 	常量	c=0 d=1.16263e-09 t=6912
chang liang de 	常量的	c=1 d=1.16845e-08 t=6912
chang shi 	嘗試	c=2 d=2.76755e-06 t=6912
chang shu 	常數	c=1 d=1.20404e-08 t=6912
chang yong de 	常用的	c=1 d=0.110251 t=6912
chang you 	常有	c=0 d=2.47362e-09 t=6912
chao chu 	超出	c=0 d=1.07638e-14 t=6912
chao chu da xiao 	超出大小	c=1 d=1.08178e-13 t=6912
chao guo 	超過	c=0 d=0.000127476 t=6912
chao guo yi ge xie 	超過一個寫	c=1 d=0.00128115 t=6912
chao lei 	超類	c=1 d=1.52668e-07 t=6912
che 	車	c=1 d=8.7446e-11 t=6912
chen 	晨	c=1 d=0.0142642 t=6912
chen 	陳	c=1 d=3.60963e-13 t=6912
cheng 	成	c=0 d=1.97146e-16 t=6912
cheng bei 	城北	c=1 d=8.68026e-11 t=6912
cheng bei zhen 	城北鎮	c=1 d=7.71708e-11 t=6912
cheng ben 	成本	c=0 d=0.0140858 t=6912
cheng ben kai xiao 	成本開銷	c=1 d=0.141564 t=6912
cheng dan 	承擔	c=1 d=2.94008e-11 t=6912
cheng du 	成都	c=8 d=0.0203979 t=6912
cheng du 	程度	c=1 d=4.68224e-15 t=6912
cheng du na li 	成都哪裏	c=1 d=0.0184074 t=6912
cheng du shi 	成都市	c=1 d=8.29805e-12 t=6912
cheng gong 	成功	c=1 d=0.0316662 t=6912
cheng ji 	成績	c=0 d=1.74794e-12 t=6912
cheng ji you liang 	成績優良	c=1 d=1.7567e-11 t=6912
cheng le 	成了	c=0 d=4.50645e-07 t=6912
cheng li 	成立	c=0 d=0.071177 t=6912
cheng nuo 	承諾	c=0 d=2.38399e-16 t=6912
cheng wei 	成爲	c=7 d=1.16476 t=6912
cheng wei 	稱爲	c=6 d=8.87674e-06 t=6912
cheng wei le wo 	成爲了我	c=1 d=1.98135e-15 t=6912
cheng xu 	程序	c=21 d=1.16998 t=6912
